payment_id,user_id,transaction_type,amount,currency,amount_usd,payment_method,status,transaction_date,processing_time_hours,fee_usd,exchange_rate,payment_provider
PAY_BEBEB18A,USR_118AD979,Deposit,7558.42,CAD,4518.88,Skrill,Pending,2022-06-13 00:00:00,23.7,45.2,1.3151,Crypto
PAY_869064FD,USR_638C389E,Deposit,144.39,EUR,5103.9,Neteller,Completed,2020-10-23 00:00:00,48.2,29.64,1.0247,Crypto
PAY_9963F903,USR_6AA136F1,Deposit,3621.05,USD,6720.67,PayPal,Cancelled,2022-02-16 00:00:00,51.9,36.79,1.4524,Stripe
PAY_8FA15A7F,USR_B3B5ECA4,Withdrawal,9174.34,GBP,2150.75,Wire Transfer,Failed,2020-04-08 00:00:00,64.3,18.08,0.8181,Bank
PAY_CB9AC53B,USR_08814A09,Deposit,2947.44,USD,4627.59,Wire Transfer,Failed,2020-06-26 00:00:00,17.3,39.72,0.9097,Stripe
PAY_83DD67DB,USR_589226DC,Withdrawal,106.0,CAD,9087.94,Credit Card,Cancelled,2022-10-31 00:00:00,41.7,4.54,0.8437,Stripe
PAY_BA5E3762,USR_E153E372,Withdrawal,4083.56,AUD,7361.3,Skrill,Cancelled,2021-03-08 00:00:00,21.7,16.62,1.3967,Stripe
PAY_D901C629,USR_9C569B1A,Deposit,4727.8,CAD,7077.09,Bank Transfer,Failed,2022-07-10 00:00:00,56.5,18.08,0.8995,Bank
PAY_5FC0914B,USR_721AA0E9,Withdrawal,8532.15,GBP,9288.11,Skrill,Cancelled,2022-04-30 00:00:00,5.7,2.86,0.9902,Crypto
PAY_7F7C71E6,USR_7C6D7A00,Deposit,3486.22,GBP,5807.02,Neteller,Cancelled,2024-04-09 00:00:00,46.5,12.42,1.3731,PayPal
PAY_5AA8E163,USR_3BEAD17F,Deposit,5992.38,JPY,7100.88,Neteller,Failed,2024-08-01 00:00:00,58.6,28.98,1.1893,Stripe
PAY_8E8A0008,USR_C6C823E6,Withdrawal,334.37,GBP,518.06,PayPal,Pending,2024-04-16 00:00:00,58.7,1.37,1.489,PayPal
PAY_725ED287,USR_86436FC3,Withdrawal,7915.23,GBP,1411.2,Credit Card,Failed,2023-01-02 00:00:00,9.7,27.98,1.0479,Stripe
