copy_id,follower_user_id,trader_user_id,start_date,end_date,copy_percentage,max_copy_amount,total_copied_trades,total_pnl_usd,is_active,stop_loss_enabled,take_profit_enabled
CPY_C99B53E2,USR_1FB4983E,USR_AC639A17,2020-10-22,2021-12-30,100,148.0,190,750.73,False,True,True
CPY_20B4125D,USR_58A700A8,USR_A29BCE56,2020-07-30,,50,1870.96,38,-359.46,True,True,True
CPY_051C36B6,USR_60E68B5C,USR_EB2ECF13,2020-03-21,,50,2296.43,87,1091.74,True,True,True
CPY_684E9689,USR_9B02BEDF,USR_87987869,2020-02-22,,50,854.16,174,289.27,True,False,False
CPY_2524BF21,USR_56C5458F,USR_E3E9A6B8,2022-03-03,,25,4133.44,108,-416.19,True,False,True
CPY_9F9A42AA,USR_140CF248,USR_A0C5CF97,2022-03-05,,100,1889.54,101,-94.97,True,True,False
CPY_E4B1BA5E,USR_3A6347EA,USR_C1588435,2023-12-14,2024-06-16,20,938.34,185,789.28,False,False,True
CPY_76B86345,USR_8A40352C,USR_41119C22,2023-09-23,,10,4979.03,7,1735.53,False,False,True
CPY_90DE5CC2,USR_022A8204,USR_901ED5A1,2021-04-22,,20,4695.86,66,70.21,True,False,True
CPY_67D28B8B,USR_225A038F,USR_FF1B0FBD,2024-01-19,2024-10-13,50,4242.59,83,229.8,False,True,True
CPY_7A7A9E87,USR_A878B937,USR_BDF41AC3,2020-06-24,,50,4281.26,188,998.95,False,True,True
CPY_3112777C,USR_4562C3B3,USR_02CA93FF,2023-06-15,,75,1968.88,116,1714.25,True,True,False
CPY_7ED2AB11,USR_48515F94,USR_39D5A3EB,2020-01-16,2021-06-18,75,1268.49,58,-775.13,False,False,False
CPY_0DD3AD24,USR_138A20A6,USR_DBFD32EE,2021-08-11,2022-05-19,100,2264.02,71,-527.48,False,False,True
CPY_C74D5115,USR_5A79AD34,USR_C0430B74,2020-10-25,,100,2792.4,22,-89.52,False,False,False
CPY_64FCB465,USR_D2269BB2,USR_CEB0F7F2,2023-12-25,,25,4988.18,96,1233.34,True,False,True
CPY_54BD5B65,USR_B9F3CA4B,USR_F484DC76,2021-02-03,2022-07-12,20,1313.38,23,1161.62,True,False,True
CPY_F7DC367A,USR_FF2329B6,USR_D0B0B46D,2023-04-12,,100,966.58,81,-895.68,False,False,False
CPY_E20CDD1A,USR_4F8D1FE8,USR_7C72066B,2024-01-07,2025-07-17,10,1567.59,152,1951.51,False,True,True
CPY_FC3BD7CF,USR_D6941E33,USR_D9FA2400,2023-08-13,,50,537.8,13,93.33,True,False,False
CPY_7482335B,USR_02A7E162,USR_F422C881,2021-10-29,,100,309.12,39,422.21,False,True,True
CPY_57FF8FB4,USR_B1114A53,USR_97F4892A,2021-04-28,,100,4225.08,185,140.9,True,False,False
CPY_768A5D1C,USR_40B9232C,USR_25E7AD0E,2023-02-11,2024-07-06,75,4171.68,136,1623.59,False,False,False
CPY_01CB4A16,USR_82286AB3,USR_4EF67B10,2021-06-24,,50,1131.84,32,-168.07,True,False,False
CPY_63B5A2AB,USR_AFF38B69,USR_F9CAB35C,2020-06-04,,20,4602.54,132,1988.82,True,True,True
